"Height" "Protein" "Oil" "Productivity"
"V_0" 92.5 39.8 16.5 96
"V_1" 155 NA NA NA
"V_2" 112.5 42.1 18.3 84
"V_3" 77.5 43.5 17.9 109
"V_4" 82.5 40.8 19.4 113
"V_5" 77.5 42.4 20 116
"V_6" 102.5 41.1 15.6 46
"V_7" 102.5 43.1 17.9 53
"V_8" 155 NA NA NA
"V_9" 122.5 44.7 18.1 51
"V_10" 105 NA NA NA
"V_11" 42.5 40.7 15.1 36
"V_12" 97.5 43.1 18.4 49
"V_13" 92.5 42.6 20.2 113
"V_14" 82.5 42.4 19.5 124
"V_15" 115 NA NA NA
"V_16" 85 NA NA NA
"V_17" 107.5 42.7 16.7 46
"V_19" 57.5 39.8 18.3 129
"V_20" 52.5 41.1 21.3 143
"V_21" 62.5 39.7 21.9 118
"V_22" 87.5 40.8 20.4 124
"V_23" 82.5 41 20.8 89
"V_24" 47.5 44.3 19.1 140
"V_25" 32.5 45.5 17.2 82
"V_26" 92.5 NA NA NA
"V_27" 145 NA NA NA
"V_28" 47.5 42.9 17.4 86
"V_29" 77.5 NA NA NA
"V_30" 145 NA NA NA
"V_31" 105 NA NA NA
"V_32" 72.5 39.6 17.5 94
"V_33" 77.5 36.7 23.8 127
"V_34" 62.5 42.5 21.3 123
"V_35" 47.5 44.2 19.9 144
"V_36" 62.5 42 21.3 158
"V_37" 67.5 42.2 20.5 116
"V_39" 52.5 42.2 20 125
"V_40" 27.5 41.5 21.3 81
"V_41" 52.5 45.4 17.5 144
"V_42" 102.5 40.1 21.9 129
"V_43" 32.5 40 22.3 76
"V_44" 42.5 41.8 18.8 101
"V_45" 77.5 42.6 21.3 115
"V_46" 77.5 41.4 20.9 113
"V_47" 82.5 38.9 22.2 122
"V_48" 72.5 41.6 20.9 138
"V_49" 95 42.3 20.6 119
"V_50" 72.5 40 20.8 107
"V_51" 77.5 42.5 20.4 148
"V_52" 57.5 42.2 20.4 113
"V_53" 122.5 NA NA NA
"V_54" 72.5 41.2 20.1 117
"V_55" 102.5 43.8 17.8 86
"V_56" 32.5 41.7 21.8 71
"V_57" 52.5 42.1 19 83
"V_58" 82.5 40.5 21.3 129
"V_59" 72.5 42.5 21.3 168
"V_60" 62.5 38.8 23.2 140
"V_61" 62.5 43.1 19.7 175
"V_62" 52.5 41.2 20.5 148
"V_63" 82.5 41.4 20.9 144
"V_64" 72.5 40.3 20.4 128
"V_65" 82.5 42.6 19.6 129
"V_66" 115 42.4 18.5 115
"V_67" 87.5 40.3 18.2 93
"V_68" 105 NA NA NA
"V_69" 125 NA NA NA
"V_70" 102.5 41.1 21.4 141
"V_71" 97.5 39.3 22 128
"V_72" 117.5 40 19.8 94
"V_73" 102.5 42.1 20.5 146
"V_74" 87.5 42.1 20.6 117
"V_75" 72.5 41.2 21.2 104
"V_76" 57.5 41.8 18.6 96
"V_77" 47.5 44.8 18 85
"V_78" 37.5 43.4 19.8 88
"V_79" 32.5 40.3 22 81
"V_80" 42.5 41.6 19.3 93
"V_81" 77.5 42.4 18.1 112
"V_82" 62.5 41.8 19.4 143
"V_83" 72.5 42.7 19.4 128
"V_84" 77.5 42.1 19.6 131
"V_85" 82.5 41.6 21.4 158
"V_86" 67.5 42 20.4 138
"V_87" 77.5 40.6 22.1 154
"V_88" 67.5 42.8 20.1 137
"V_89" 52.5 41.3 19 157
"V_90" 57.5 43.7 19.1 119
"V_91" 57.5 44 20.1 125
"V_92" 52.5 41.2 20.2 159
"V_93" 52.5 40.1 18.4 134
"V_94" 52.5 41.9 20 154
"V_95" 42.5 41.6 20.8 93
"V_96" 57.5 41.4 20.2 96
"V_97" 52.5 42.1 20.5 156
"V_98" 37.5 42.2 22.4 92
"V_99" 82.5 44.6 20.6 121
"V_100" 62.5 41.8 20.9 153
